Epoch,Training stage,Head LR used,Layer4 LR used,Head LR next,Layer4 LR next,Train loss,Val loss,Accuracy,Fake precision,Fake recall,Fake F1,Real F1,Macro F1,Weighted F1,ROC-AUC,PR-AUC,Threshold
1,Head only,0.0005,,0.0005,,0.2741,0.1971,0.9216,0.9154,0.929,0.9221,0.921,0.9215,0.9215,0.9776,0.9765,0.58
2,Head only,0.0005,,0.0005,,0.2186,0.1744,0.932,0.9184,0.9483,0.9331,0.9309,0.932,0.932,0.9825,0.9815,0.51
3,Head only,0.0005,,0.0005,,0.201,0.1764,0.9362,0.9273,0.9467,0.9369,0.9356,0.9362,0.9362,0.9836,0.9827,0.63
4,Layer4 fine-tuning,0.0005,0.0,0.0005,0.0,0.104,0.0548,0.9817,0.9793,0.9842,0.9817,0.9817,0.9817,0.9817,0.9982,0.9981,0.65
5,Layer4 fine-tuning,0.0005,0.0,0.0005,0.0,0.0488,0.0471,0.9896,0.9889,0.9903,0.9896,0.9896,0.9896,0.9896,0.9994,0.9994,0.87
6,Layer4 fine-tuning,0.0005,0.0,0.0005,0.0,0.0325,0.0223,0.9926,0.9928,0.9925,0.9926,0.9927,0.9926,0.9926,0.9997,0.9997,0.37
7,Layer4 fine-tuning,0.0005,0.0,0.0005,0.0,0.0243,0.0174,0.9943,0.9938,0.9948,0.9943,0.9943,0.9943,0.9943,0.9998,0.9998,0.59
8,Layer4 fine-tuning,0.0005,0.0,0.0005,0.0,0.0201,0.0179,0.995,0.9941,0.9958,0.995,0.9949,0.9949,0.9949,0.9998,0.9998,0.74
9,Layer4 fine-tuning,0.0005,0.0,0.0002,0.0,0.0161,0.0178,0.9957,0.9961,0.9953,0.9957,0.9957,0.9957,0.9957,0.9999,0.9999,0.86
10,Layer4 fine-tuning,0.0002,0.0,0.0002,0.0,0.0091,0.0094,0.9969,0.9965,0.9973,0.9969,0.9969,0.9969,0.9969,0.9999,0.9999,0.62
11,Layer4 fine-tuning,0.0002,0.0,0.0002,0.0,0.0082,0.0092,0.9971,0.9966,0.9976,0.9971,0.9971,0.9971,0.9971,0.9999,0.9999,0.56
12,Layer4 fine-tuning,0.0002,0.0,0.0002,0.0,0.0072,0.0082,0.9974,0.9969,0.998,0.9975,0.9974,0.9974,0.9974,0.9999,0.9999,0.53
13,Layer4 fine-tuning,0.0002,0.0,0.0002,0.0,0.0069,0.0077,0.9977,0.997,0.9984,0.9977,0.9977,0.9977,0.9977,0.9999,0.9999,0.51
14,Layer4 fine-tuning,0.0002,0.0,0.0002,0.0,0.0065,0.0121,0.997,0.9965,0.9975,0.997,0.997,0.997,0.997,0.9999,0.9999,0.81
15,Layer4 fine-tuning,0.0002,0.0,0.0001,0.0,0.0054,0.0079,0.9977,0.9979,0.9975,0.9977,0.9977,0.9977,0.9977,1.0,1.0,0.62
